***heatingcycle1
100	400	1:30
400	900	1:30
900	1200	2:00
***heatingcycle2
100	400	2:00
400	900	2:00
900	1200	3:00
***heatingcycle3
100	400	3:30
400	900	2:30
900	1200	2:30
***coolingcycle1
1200	1100	0:30
1100	900	0:30
900	800	1:00
800	700	1:00
700	600	1:00
600	500	0:30
500	400	0:30
400	200	0:45
200	0	0:45
***coolingcycle2
1200	1100	1:00
1100	900	1:00
900	800	1:30
800	700	1:30
700	600	1:30
600	500	1:00
500	400	1:00
400	200	1:00
200	0	1:00
***coolingcycle3
1200	1100	2:00
1100	900	1:30
900	800	1:30
800	700	1:30
700	600	1:30
600	500	1:30
500	400	1:30
400	200	1:30
200	0	0:45
